data_venda,produto_id,produto_nome,categoria,canal_venda,regiao,cliente_tipo,quantidade,preco_unitario,custo_unitario,vendedor_id,estoque_disponivel
2020-09-08,P003,Central Multimídia,Som,Oficina,Sul,Pessoa Jurídica,7,657.58,364.98,V171,20
2024-07-27,P003,Central Multimídia,Som,E-commerce,Norte,Pessoa Jurídica,7,412.08,218.4,V558,23
2019-06-19,P005,Câmera de Ré,Segurança,Varejo,Sudeste,Pessoa Jurídica,5,520.78,371.02,V761,1
2024-05-29,P005,Câmera de Ré,Segurança,E-commerce,Norte,Pessoa Jurídica,8,682.71,384.84,V291,20
2020-01-15,P002,Kit Xenon,Iluminação,E-commerce,Centro-Oeste,Pessoa Física,1,312.97,205.75,V847,24
2021-11-03,P002,Kit Xenon,Iluminação,E-commerce,Sudeste,Pessoa Jurídica,1,467.34,289.73,V575,15
2024-03-14,P005,Câmera de Ré,Segurança,E-commerce,Sudeste,Pessoa Jurídica,3,367.72,292.33,V604,2
2021-01-22,P003,Central Multimídia,Som,Oficina,Centro-Oeste,Pessoa Física,5,525.28,289.51,V266,17
2023-04-07,P001,Sensor de Estacionamento,Segurança,E-commerce,Sul,Pessoa Jurídica,4,759.54,508.12,V876,25
2024-06-16,P003,Central Multimídia,Som,E-commerce,Norte,Pessoa Jurídica,5,261.63,149.73,V554,43
2024-08-12,P005,Câmera de Ré,Segurança,Varejo,Sudeste,Pessoa Jurídica,8,124.07,95.88,V661,39
2020-11-15,P005,Câmera de Ré,Segurança,Varejo,Norte,Pessoa Física,4,318.2,208.75,V205,3
2020-02-08,P004,Filtro de Ar Esportivo,Performance,Varejo,Norte,Pessoa Física,6,121.92,91.77,V655,33
2020-12-04,P005,Câmera de Ré,Segurança,E-commerce,Nordeste,Pessoa Jurídica,10,726.38,493.48,V915,14
2022-01-10,P003,Central Multimídia,Som,Oficina,Nordeste,Pessoa Jurídica,8,499.31,327.67,V801,39
2023-03-14,P002,Kit Xenon,Iluminação,E-commerce,Sudeste,Pessoa Jurídica,5,372.07,216.32,V152,23
2024-05-03,P005,Câmera de Ré,Segurança,Oficina,Nordeste,Pessoa Física,10,775.68,529.1,V592,40
2021-12-17,P004,Filtro de Ar Esportivo,Performance,Oficina,Sul,Pessoa Física,1,110.95,69.57,V228,43
2023-10-31,P004,Filtro de Ar Esportivo,Performance,Oficina,Norte,Pessoa Física,8,103.87,77.35,V692,7
2024-07-23,P001,Sensor de Estacionamento,Segurança,Oficina,Nordeste,Pessoa Jurídica,3,653.12,445.29,V589,38
2023-07-03,P002,Kit Xenon,Iluminação,Oficina,Sul,Pessoa Jurídica,10,181.11,137.45,V939,11
2024-05-24,P002,Kit Xenon,Iluminação,Oficina,Nordeste,Pessoa Jurídica,2,166.79,101.95,V673,23
2020-12-10,P002,Kit Xenon,Iluminação,Oficina,Sul,Pessoa Física,5,610.72,422.17,V646,0
2019-10-07,P001,Sensor de Estacionamento,Segurança,Varejo,Nordeste,Pessoa Física,3,183.72,131.17,V868,4
2020-02-15,P003,Central Multimídia,Som,Varejo,Sul,Pessoa Jurídica,10,265.19,152.97,V894,8
2022-05-06,P005,Câmera de Ré,Segurança,Oficina,Nordeste,Pessoa Física,10,117.79,62.71,V674,31
2021-06-30,P003,Central Multimídia,Som,Varejo,Sudeste,Pessoa Jurídica,7,432.76,289.51,V833,36
2019-09-12,P001,Sensor de Estacionamento,Segurança,Varejo,Norte,Pessoa Física,7,523.09,346.26,V640,35
2022-06-03,P002,Kit Xenon,Iluminação,Varejo,Sul,Pessoa Jurídica,7,302.83,166.06,V677,41
2021-05-04,P004,Filtro de Ar Esportivo,Performance,Varejo,Sudeste,Pessoa Física,9,173.85,110.74,V719,43
2024-10-18,P002,Kit Xenon,Iluminação,Varejo,Nordeste,Pessoa Física,4,724.79,479.67,V605,27
2021-10-28,P004,Filtro de Ar Esportivo,Performance,E-commerce,Sudeste,Pessoa Jurídica,9,322.6,171.95,V476,26
2020-12-10,P002,Kit Xenon,Iluminação,E-commerce,Norte,Pessoa Jurídica,9,672.61,509.99,V458,5
2021-09-02,P003,Central Multimídia,Som,E-commerce,Sudeste,Pessoa Jurídica,8,473.86,305.85,V324,41
2024-01-24,P004,Filtro de Ar Esportivo,Performance,Oficina,Sudeste,Pessoa Jurídica,8,760.04,453.71,V707,23
2025-01-06,P001,Sensor de Estacionamento,Segurança,E-commerce,Centro-Oeste,Pessoa Física,9,382.69,198.8,V541,11
2024-04-22,P001,Sensor de Estacionamento,Segurança,E-commerce,Norte,Pessoa Física,7,448.07,264.48,V724,16
2020-07-18,P004,Filtro de Ar Esportivo,Performance,Oficina,Norte,Pessoa Física,1,783.63,488.45,V954,36
2022-04-04,P005,Câmera de Ré,Segurança,Varejo,Norte,Pessoa Física,1,544.05,383.13,V152,43
2019-05-22,P001,Sensor de Estacionamento,Segurança,Oficina,Norte,Pessoa Jurídica,10,789.96,452.34,V935,10
2019-08-04,P003,Central Multimídia,Som,E-commerce,Norte,Pessoa Jurídica,8,266.35,191.36,V379,4
2023-05-24,P002,Kit Xenon,Iluminação,Oficina,Norte,Pessoa Jurídica,4,788.4,488.53,V610,47
2021-08-23,P005,Câmera de Ré,Segurança,Oficina,Norte,Pessoa Jurídica,1,205.5,134.08,V563,28
2024-04-21,P005,Câmera de Ré,Segurança,Varejo,Nordeste,Pessoa Física,3,513.63,361.22,V502,25
2025-05-03,P001,Sensor de Estacionamento,Segurança,E-commerce,Nordeste,Pessoa Jurídica,3,666.65,403.06,V810,40
2023-03-18,P005,Câmera de Ré,Segurança,Oficina,Nordeste,Pessoa Jurídica,1,378.3,247.91,V971,0
2020-06-30,P004,Filtro de Ar Esportivo,Performance,Varejo,Centro-Oeste,Pessoa Física,9,179.43,139.49,V397,34
2020-06-19,P001,Sensor de Estacionamento,Segurança,Varejo,Norte,Pessoa Jurídica,7,561.99,418.78,V671,48
2024-02-22,P004,Filtro de Ar Esportivo,Performance,Oficina,Sul,Pessoa Física,2,797.38,629.63,V552,36
2024-03-14,P005,Câmera de Ré,Segurança,Varejo,Centro-Oeste,Pessoa Física,7,337.32,204.0,V915,15
2023-10-20,P002,Kit Xenon,Iluminação,Oficina,Nordeste,Pessoa Jurídica,3,699.43,434.59,V772,23
2020-06-12,P003,Central Multimídia,Som,Varejo,Sul,Pessoa Jurídica,4,158.9,87.15,V521,39
2021-11-03,P004,Filtro de Ar Esportivo,Performance,Varejo,Norte,Pessoa Física,4,506.48,309.81,V572,34
2021-11-03,P005,Câmera de Ré,Segurança,Oficina,Sudeste,Pessoa Jurídica,9,103.54,56.77,V437,1
2022-01-30,P002,Kit Xenon,Iluminação,Oficina,Sudeste,Pessoa Física,6,413.9,330.43,V260,3
2023-01-03,P003,Central Multimídia,Som,Varejo,Centro-Oeste,Pessoa Física,1,445.73,246.78,V603,7
2023-01-14,P004,Filtro de Ar Esportivo,Performance,Varejo,Sul,Pessoa Jurídica,7,604.66,358.21,V787,11
